Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
AIR FLOW EUROPE;832478671;21702081;1
NEW MEDICAL CONCEPT - NMC;514656594;23802687;9
TWIN JET;437937600;22736543;0
JOTT FRANCE;899697957;24854786;-27
CVE;518792528;24105943;-11
ADP PARASCANDOLA;843749292;22682568;0
THEMYS;413395690;23984176;12
SPAG SOCIETE PROVENCALE D'ACHAT ET DE GESTION;321591067;21942849;-14
ADF UTILITIES;953075488;24295837;-0
TRANSPORTS N.J.S FARAMIA;390264646;22374705;5
TRANSCAUSSE;314467986;24119273;14
RHODANIENNE DE TRANSIT;323167890;24236201;10
SMARDTV CORPORATION;918071317;24373737;3
R2I D* SOFTWAY MEDICAL DEVELOPPEMENT;387496615;22622463;35
LEASE PRO FINANCE;531483154;24255753;6
PHINELEC;421426479;24253397;-2
MOVIN;419802285;20845296;-24
GROUPE EDITOR;380471540;24016281;-9
PHOCEENNE SAS;877951673;22338203;5
GROUPE FERAUD;059805416;21751087;1
LA SOCHALIENNE MARSEILLE PROVENCE;438527699;23394411;4
AMENTUM CLEAN ENERGY FRANCE SAS;797486073;21690088;6
CARAUTO SERVICES;399402064;24124763;-8
CHARRON INOX;350857140;21180398;6
CERTICALL;538329913;21084224;4
FRAMATEQ;794503748;21979689;4
PEBEO;352209399;22349718;-1
HEXA NET;412479347;21778813;1
SPORT EQUIPMENT;327875993;20163146;2
KEOLIS AUTOCARS DE PROVENCE;541620365;20121171;-1
S.B.V. DISTRI;851024190;22504953;0
ACTEMIS;493604078;21508288;2
ACSENT DE PROVENCE;503606931;23521850;6
MNCS;830541132;20691332;4
BSA PACA;478098445;20725290;16
ENTRETIEN INSTALLATION THERMIQUE PROVENCALE;429949670;22695746;2
SMTRT SOC MARS TRANSPORTS ROUTIERS TRANSIT;671620813;21156227;-1
SOMEFRAI;347503286;24775011;4
PROLOG SAS;808271068;24755378;0
KOESIO PACA;389629718;20817066;11
TRAVAUX.COM;489170001;23084379;8
GARDANNE AUTOMOBILES;305661787;22061132;-2
MONDIAL PROTECTION GRAND SUD-EST;817486061;23530913;0
BIOGENIE FRANCE;408295012;21339952;-22
RADIOTHERAPIE ET ONCOLOGIE MEDICALE DE PROVENCE;908221997;35465860;17
GROUPE ADF;334473485;39863306;46
ETABLISSEMENTS MILHE ET AVONS;057802001;39844841;5
SICOMIN SOC INTERNATIONALE COMMERCE INDUSTRIE;542026620;37961878;17
VITAL;636680415;35978507;4
TELEM ONET SECURITE SYSTEMES;069502433;39698244;-7
DUALSUN;523618320;37499220;-10
NICE FRANCE;399781921;38597656;-4
AVIAPARTNER MARSEILLE;344830872;36391304;1
MOTA;352729982;38862097;8
SETMA EUROPE;351412028;35992037;3
ONET SA;489504332;35258015;76
KAPORAL COLLECTIONS;378644603;35682899;-4
DARAS INTERNATIONAL;055809602;35536041;1
PRO.VUL.CO;421460155;35374648;4
IN EXTENSO PACA IN EXTENSO PROVENCE ALPES COTE D'AZUR;380221846;38634817;7
BRONZO T.P.;501656573;38717980;-0
B L O G BOURBON LOGISTICS;749886982;35201084;4
HD CONSTRUCTION;813111580;37964338;4
SARL ALTRAD COMI POUJAUD;390546208;39845640;8
EXYTE FRANCE;404164915;37018925;4
ATEXIS FRANCE;450024179;37282000;1
SMTPC SOCIETE MARSEILLAISE DU TUNNEL PRADO-CARENAGE;334173879;36679971;26
SRI SUD ROBINETTERIE INDUSTRIE;318977014;37009285;17
ROSSI BOISSONS 13;490202843;35265547;1
EVD EXTRAITS VEGETAUX ET DERIVES;063804108;36804512;17
NEXECOM;483551784;37910234;0
CWI DISTRIBUTION;439218868;39510825;13
CRUDELI;065802308;37008382;-6
