Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
R2S;529725863;3372540;-1
COGEPART DEVELOPPEMENT;894592831;3246782;-1
BOURBON MARITIME;055802540;3173193;-18416
COLIS PRIVE STORE;848952982;3465445;-65
DISPIRO;924812365;3159241;-3
M M C VIANDE A GOGO MARSEILLE MEAT COMPANY;502467871;3461187;2
MIZGIN;852434034;3495255;1
MIMABS;891034282;3391208;-25
FOUQUE CHIMIE SERVICE;328997788;3335315;2
SARL TANI;439456237;3339106;1
TRANSAGRUE;055800056;3142868;3
LISE PROMOTION;792707606;3207516;-0
PMKR;750814857;3027351;15
CHEZ FOLIES;878982024;3229442;1
GUYANE 4093;811983030;3229141;18
MARSEILLE FRET;380620096;3092992;78
FORT 783;839729092;3031105;-21
FRANCE DISTRIBUTION IMPORT - EXPORT;844438317;3495771;-7
CITYA PARADIS;352590616;3227632;7
IMMO DE FRANCE PROVENCE;528359474;3370548;3
ALTERNATIVE-HOPITAL;803780923;3227193;38
FORT 781;839970423;3034660;-12
COMPOSITES SANITAIRE ET INDUSTRIE;431665959;3427544;12
S.T.P.R. - SOCIETE DE TRANSPORTS DE PIECES DE RECHANGE;832337919;3383908;-2
STEDY;844821702;3055232;3
GUYANE 4092;811983089;3230399;19
SO VE VA SOCIETE VENUS DE VALDIVIA;350461000;3044985;9
YAMMA;814219259;3474011;0
STE D'EXPLOITATION DU CHALET DU BRICOLEUR;302476445;3492587;2
SARL DINA;490388022;3411211;-5
SMX LA SAMEX;335145876;3104054;2
LES POMMIERS;889472973;3383500;6
CENTRE D'IMAGERIE MONTICELLI-VELODROME;405150053;3191960;-28
ECF SERVICES INSTITUTIONS;812699718;3206917;1
ECOTEC;327580486;3363628;10
CTS CINE DIGITAL MARSEILLE;054802293;3001482;19
CCI CREATION COMMUNICATION IMPRESSION;335073292;3022283;-12
B B RACING TEAM;350675708;3323071;-5
BV DISTRI;930980784;3127255;0
LA PLATEFORME FORMATION;883780496;3377274;2
C2C AUDIT;452778186;3125355;84
SYNCHRONOSS TECHNOLOGIES FRANCE;448137018;3363826;21
EFFIA CITE PHOCEENNE;922615877;3344448;-20
CLIM-ONE;879749240;3132030;46
JOLIREP;752962647;3218966;-8
SOC TECHNIQUE TRANSPORTS INTERNATIONAUX;778126383;3254283;20
AGILTECH;479398224;3053714;9
C.M.A;489695353;3383397;1
DELTA BEAUTE DISTRIBUTION;330095142;3435759;5
SARL MORETTI;493266241;3250968;2
THE TRAVELLER'S CLUB;394063846;3315803;23
COMPTOIR DES SALAISONS;488603309;3240795;6
PLASTIC ODYSSEY EXPEDITION;847625506;3164758;10
STEPHANIE;349790048;3373643;-1
CABINET PAUL STEIN;069800464;3169793;3
GUYANE 4094;811982933;3216218;18
ALAMBIC PHARM;841911522;3342162;11
GRP PORTEURS BAGAGES PORT DE MARSEILLE;430201566;3334350;-1
DROP SUD PIECES AUTOS;889311031;3189448;0
HEXACTE;893734905;3418438;7
A PLEINE VUE;480642297;3391239;18
CMA CGM AIR CARGO 2;892447905;3354969;482
TANI PARA;452875933;3062512;15
LA SOUVENANCE;509554671;3398010;-15
SELARL PHARMACIE DE LA TOUR;823887674;3447228;3
SARL DESMONT - MONTAGE INSDUSTRIEL FRANCE;789589405;3083876;6
POLYGONES;329359608;3138267;9
CHARMASSON;893894030;3163521;7
GROUPE EDMOND BINHAS;414265736;3266998;11
STE FONCIERE ET COMMERCIALE DU SILO DE LA MADRAGUE;063801526;3030000;12
NOSAO;800493231;3499226;0
NATT NOUVELLE AGENCE TRANSIT TRANSPORT;348087685;3427012;32
FRICHE LA BELLE DE MAI;502062383;3493120;1
TPA TRAVAUX DE POMPAGE ET D'ASSAINISSEMENT;405097700;3220199;6
48 CANEBIERE SERVICES;808697189;3437736;-2
LOTOMER;529035651;3013238;1
SANITOR;316656917;3095889;4
B 2000;322043241;3024672;-11
MED DISTRIBUTION;817913122;3235525;1
FINANCIERE JUMBO;531073617;3248431;-109
VESTNER FRANCE;503373409;3179535;-5
CONSORTIUM TRAVAUX DE TP;803956820;3085629;4
AU VIEUX PLONGEUR;070800362;3028009;-3
SOC MEDIT NEGOCE RECUPERATION DE METAUX;450751219;3378279;-1
FUEGOLITA;483912846;3175238;15
NETVICOM DISTRIBUTION;498123348;3425741;2
BLAMPIN FRUITS HOLDING;417776812;3184106;136
PRO DIRECT ET COMPAN.I;535320360;3073331;-1
CARMINE;495071946;3105216;35
HGL HELITRANS GLOBAL LOGISTICS;479556839;3158287;7
A.D.T. TRAD;434662565;3137022;5
ADMISSIONS CONSULTING;750370710;3040473;-1
CONSO ECO;900137282;3005033;-7
REPOS BEAU SITE;066804345;3369160;2
ITESA B&C;892423377;3034604;4
SOC ETS GEORGES FARINA;073806226;3175824;3
SQUARE HABITAT ALPES PROVENCE;504268152;3336098;-39
INTERNATIONAL GROUP DEVELOPPEMENT;790161145;3317059;1
SOREBO SOC RESTAURATION BOURGOGNE;353035645;3316283;6
FONCIERE PEPIMO;921367306;3200000;10
ALPHA SERVICES VAR-ALPES;794828285;3282898;8
SAS PONT DE L'ARC;878064302;3652844;1
EUROSUD ASSURANCES;392448155;3636778;34
SEFIMA;381041524;3784497;23
MX;830004024;3827665;-107
RTM EST METROPOLE;801800178;3894591;1
STRUCTURES ENGINEERING;351156724;3927811;-12
VIVERIS CAMPUS IMMO;539357509;3697687;79
MCR;331530261;3523465;11
SAS BEAUMANOIR;913725149;3548691;-3
S.E.D.N.A AERIA;924999477;3509487;1
SOREBAT SOCIETE DE RENOVATION DU BATIMENT;318102324;3895653;8
CLAIRFONTAINE;073805368;3665476;-63
LES BORDS DE MER;351603295;3807817;3
CMM SCI DEVEL CREDIT MUTUEL MEDITE;317857605;3919022;41
GARAGE D'HAITI;391057502;3951165;7
CLI TRANSIT;341652873;3530101;6
SOPHOCEA;905011235;3786815;10
CMA TERMINALS HOLDING;789613965;3684273;666
SOCOHERB SAS;482381514;3592603;0
BIO SERVICE LOGISTIQUE B.S.L.;423806264;3618215;0
FDC MARSEILLE;882996903;3727564;7
ALPHASE AGENCEMENT;530383108;3912817;4
SELARL PHARMACIE SIGHIERI;489950865;3893823;1
PRESTAV DENTAIRE;808449037;3735036;-45
ITEM INTERNATIONAL TRADE ETIQUETAGE MARQUAGE;807461561;3790512;1
SUD-EST ASSURANCES;498596352;3716133;3
UDJ13 UNIVERS DU JETABLE 13;389515305;3620792;3
ZE BOX;839558350;3811465;-20
FLEETENERGIES;983980657;3539822;10
LE SON DES VOUTES;790321228;3531648;1
NESLI;813505534;3657164;-8
MAURIC;331430306;3852333;10
HARAS DE BEAUMONT;844855601;3549663;-60
